ID,Reviews,Review Analysis,Product Title,Price,Rating,Free Shipping Status,Seller Rating,Ship on Time,Product Link,Specifications
1,genuine samsung mobile well packed pta approved i like it very beautiful mobile and hope it will be long lasting experience 1111 1111 mobile without mobile warranty card charger but seems good packing was not good delivery is pathatic bought 3 phones and all are new sealed pack non active and pta approved no warranty card but daraz official warranty claimed by seller 1111 orignal pta approved haiseal pack mob haiperfomance me mobile buhat zbrdast haiscren resulation b buhat best haijo b purchase karna chahty hai eyes close kar k order kar dy original samsung a14 phone its daraz official warranty not samsung official warranty 100 pta compliance 1111 no warranty card no charging cableno adopter ab pata nahi chalne me kia rang dekhai ga allah kher kare but delivered in time  same as shown phone tou kaafi acha hai aur delivery bhi bilkul time par thi aur packaging bhi seller ne achi ki hoi thi lekin jou new phone ke dabbe par plastic sheet hoti hai woh nhi thi phone par tou usska seller bas yeh confirm kardein ke yeh bikul new tha na excellent quality     this product but charger nhi diya compney walo na mobile kafi acha best budget phone is price me or kia chahye  warranty ki wese b zrort ni prti samsung phones m mere khyal m daraz pe is s achi koi deal nhi h mobiles segment me in 30k budget phone original ha official pta approved ha colour maroon mangwaya tha seller na black bheja anyway cover maroon la lia packing b fit ha delivery buht slow th got this phone in 28419 price which is value for money excellent experience with this seller got original product sealed and received on time 1010 official pta approved dual sim uae version box sealed packed with samsung seal good set in this price range  2 years warranty recommended,Positive,Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13,34999,4.4,Free Delivery,0.0,100.0,https://www.daraz.pk/products/samsung-a14-4gb64gb-5000-mah-battery-66-display-android-13-i436839264-s2101404094.html?search=1,"[""• Samsung A14 with 4GB/64GB memory.• 5000 mAh battery for long-lasting use.• 6.6' display for immersive viewing experience.• Latest Android 13 operating system."", ""Introducing the Samsung A14, the latest addition to the mobile phone market. With a 6.6' display, this phone is perfect for streaming your favorite shows and movies. The 5000 mAh battery ensures that you can use your phone all day without worrying about running out of charge. The phone runs on Android 13, providing a smooth and efficient user experience. The 4GB RAM and 64GB storage capacity allow you to store all your important files and documents."", ""Specifications of Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13\nBrand No Brand SKU 436839264_PK-2101404094 Protection Not Specified Year 2020 Number Of Cameras Not Specified\nWhat’s in the box 1x Phone, 1x Charging Cable""]"
2,this is the initial review the phone is the same as showngood thing is that it is managed directly by daraz packaging was amazing order came 1 day late only daraz is very helpfuli was not have enough money to buy this range mobile so i buy on installment from daraz mobile ki look boht achi hy or is range mai best hythanks daraz and seller camera satisfactory nh ha baki mobile ok ha daraz is very helpfuli was not have enough money to buy this range mobile so i buy on installment from daraz mobile ki look boht achi hy or is range mai best hythanks daraz and seller very good price comparison to infinix note 30 pro which black market launch price 61k whereas selling it on 95k product is good well packed and everything included orignal product satisfied with the service delivery was on time the phone is very good and in good price delivery was fast phone box was wrapped in bubble wrap so it was safe satisfied with the seller authentic product in good price  lightweight camera is 50mp but quality is not that good camera rating 710 user interface is very versatile face id recognition is not as expected 710 at night in ful darkness it has difficultly in recognition speaker sound is good excellent quality pta approved fast delivery received less than 24 hours of order very good service fast delivery same as shown in photo original product delivered within 2 days after use of 3 days mobile was good but warranty card is missing where is warranty card mera oder monday ko aa gaya tha review aj kr raha hu use kr k mujay bht acha discount mila hai jo device color mangwaya tha wahi milha hai or may full happy and satisfied hu thanks daraz thanx seller  good quality fast delivery thanks for seller good quality i am very happy from quick deliveryproper packing and mobile outlook its very attractive its touch very smooth bot kamal ka cell ha ma ne 3rd order kia ha or 2 or order kru ga or fast delivery thi 3 aug 2023 ko order or 4 aug 2023 ko mil bi gya to good umeriqbal1023gmailcom,Positive,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,49999,4.7,Standard Delivery,92.0,100.0,https://www.daraz.pk/products/redmi-note-12-8-gb-ram-128gb-rom-pta-approved-mobile-phone-with-1-year-brand-warranty-i429185340-s2040915791.html?search=1,"['Redmi Note 12 8GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty\nROM: 128GBOfficial Brand Stock 1 Year Brand Warranty\nAvailable in 4 colors:\n-Blue\n-Grey\n-Light Green\n-Levender', 'Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty\n\nROM: 128GB\nOfficial Brand Stock 1 Year Brand Warranty\nAvailable in 4 colors: \n-Blue\n-Grey\n-Light Green\n-Levender', 'Specifications of Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty\nBrand Xiaomi SKU 429185340_PK-2040915791 Protection Not Specified Year Not Specified Number Of Cameras Not Specified\nWhat’s in the box 1 x Redmi Note 12, 1 x Charger, 1 x User Guide']"
3,received as promised almost 1010 condition genuine phone with genuine parts no issue found thanks will buy again in shaa allah,Positive,Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,106999,5.0,Fastest Delivery,92.0,100.0,https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-256-gb-pta-approved-i435087172-s2088535157.html?search=1,"[""Model: Apple\nModel: iPhone X\nBattery Health - 80+\nPTA Approved\nScreen: 5.8-in. Super Retina HD\nCamera: 12MP Zoom 10x\nVideo camera: 4K Zoom 6x\nProcessor: A11 Bionic chip\nMemory: 3GB\nBattery: Lithium-ion 2716 mAh\nGenuine OEM components\nCertified 6 Months Daraz Warranty.\nDaraz Warranty Center Location: Karachi & Lahore.\nWarranty will be claimed on order number/invoice.\nThe phone will be dispatched in Daraz's Like New packaging.\nPhone will be slightly used, ensuring its authenticity with a genuine A-grade kit.\nThe original box, charging cable and charging dock will not be included.\nAll Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.\n60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.\nFully functional Factory Unlocked\nThere could be a few minimal scratches on the phone's body or screen."", ""Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked"", 'Specifications of Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved\nBrand Apple SKU 435087172_PK-2088535157 Storage capacity 256GB\nWhat’s in the box 1x Used Apple iPhone X - Silver 256 GB - PTA Approved']"
4,alhamdulillah same recieved as shown in picture same specifications a1 condition and fast delivery thanks daraz i recmond it and i order one more achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai mobile is just go0d average in use bettery timing is go0d camera is just average overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho i upgraded my stand by phone from a1 to a2 i received this phone in great packaging delivery was fast phone seems a little better than a1 i wish it would have type c charging im surprised to see the camera quality display and battery timing of this phone a perfect phone in this range with very few compromises highly recommended assalamu alaikum thank god  thanks daraz team  wanderseller xiaomi good packing  short delivery time original product 100 recommended khushe hai ke aazadi sale mai itny best price main redmi a2 offer kiya gya thanks daraz app i recently ordered a phone  and i must say it was a convenient experience the website had a userfriendly interface making it easy to browse and compare options placing the order was straightforward and they provided clear shipping information the phone arrived in good condition and on time overall a hasslefree online phone shopping experience received my order the product is very good i am satisfied with daraz and the seller response is good but lcs service is poor due to not deliver my parcel to me not to inform me and delivered my parcel any other address very good quality and design mobile is genuine and working fine so far delivery was quite quick and i received the mobile next day of ordering price was competitive with market thank you daraz genuine product and good cell phone in this range  got at the lowest price through hbl mega deal   properly packed and timely delivered  satisfied with the seller   cheers   1111 awesome   original product in this price range the best of the best mobile mi redmi a2 plus 364 thumbs up  is price range may use mobiles ya refurbish mobile milty hain to kun apnay pasay zaya karain use or refurbish mobile lay kar jab mi redmi day raha hay brand new box pack mobile mi redmi a2 plus 364 bhot hi kaam price may  kmallllll hi hogyaaaahrgiz b ni lgta tha k daraz sy mob b itny best milty hainfirst time daraz sy kuch mngaya wo b direct mob mnga liya or drr tha k paisy gay mery lekin boht zbrdst mob mil gya seller boht honest hai bhiiii thank you or delivery boy ny to kmal hi krdiya time sy pehly hi delivery krdi assalamualaikum i placed the order fearing not to be scammed but thanks to allah the experience was good but it is a good mobile at this price thanks to the seller and the drawer app  authentic and genuine product good packing but badly handled by daraz i guess delivered within timeline highly recommend seller thank you so much alhamdulillah same recieved as shown in picture same specifications a1 condition and fast delivery thanks daraz i recmond it and i order one more excellent product and original one i bought it in 1111 sale 1111 is valuable for money saving awesome discount i get and original product i receive very fast delivery services xiaomi is doing very very good as always and daraz done it again very awesome sale thank you daraz and xiaomi ,Positive,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,19399,4.7,Standard Delivery,92.0,100.0,https://www.daraz.pk/products/redmi-a2-3gb64gb-mediatek-helio-g36-android-12-5000-mah-battery-i430451931-s2051820850.html?search=1,"['Display: 6.52” HD+ Dot Drop displayResolution: 1600×720 HD+Processor: MediaTek Helio G36Storage: Expandable Storage up to 1TBOperating System: Android 12 (Go Edition)Rear Camera: 8MP main cameraFront Camera: 5 MP CameraBattery: 5000mAh (typ) high-capacity batteryCharging: 10W fast charging | Micro USBDimensions: 164.9×76.75×9.09mmWeight: 192gAudio: 3.5mm headphone jack', 'Redmi A2+ - 3GB/64GB - Mediatek Helio G96 - Android 12 (Go Edition) - 5000 mAh Battery', 'Specifications of Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery\nBrand Xiaomi SKU 430451931_PK-2051820850 Protection Not Specified Year Not Specified Number Of Cameras 2\nWhat’s in the box Redmi A2+/ Adapter/ USB cable / SIM eject tool / User guide']"
5,acha mobile hai and same cheez delivered ki hai with fast delivery service satisfied with daraz and seller i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla thanks daraz for maintenance of trust with customers love from rawalpindi allahamdolilah received mobile is original and new as mentioned recommended for buying same thing which is ordered rather late delivered nice mobile at this price with special specs delivered late but overall services by daraz are good thanks i received my parcel two days ago genuine products hai aur time pr delivered hua dill khush ho gia cell dekh kr thank you so much bhai buht acha phone ha original phone one year official warranty ha  1111 no doubt the phone is worth buying  color is awesome and the specs are too good i hope it will continuously perform as it is doing now i was afraid before buying as there was no any review about this phone on this seller but thanks for sending me original device real mobile set with complete box having wire charger wireless charger jack pin with non active phone set this is non active mobile set i really very happy thanks dear bahot acha mobile hy thanks daraz and seller pin packed and original product recommended seller good packing arrived at time but mic ka problem lagta hai awaz agay bohat kam jati hai subah tak daikhta ho nai tu return kar du ga nice product i ma really happy to buy from daraz and thank you seller pin packed product i am really confused to buy this but amazing product  you should also believe the saller and daraz recommended seller awesome product,Positive,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,64499,4.7,Free Delivery,0.0,100.0,https://www.daraz.pk/products/infinix-note-30-pro-8-256-gb-pta-approved-with-official-1-year-warranty-i436821010-s2101334479.html?search=1,"['Release Date2023-05-22SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions162.7 x 76 x 8.2 mmPhone Weight203 gOperating SystemAndroid 13, XOS 13DisplayScreen Size6.67 inchesScreen Resolution1080 x 2400 pixelsScreen TypeAMOLED, 1B colors, 120Hz, 900 nits (peak)Screen ProtectionN/AMemoryInternal Memory256 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek MT8781 Helio G99GPUMali-G57 MC2BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera32 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera108 MP + 2 MP + 2 MPBack Video Recording1440p@30fps, 1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes (market/region dependent)', 'Release Date 2023-05-22\nSIM Support Dual SIM (Nano-SIM, dual stand-by)\nPhone Dimensions 162.7 x 76 x 8.2 mm\nPhone Weight 203 g\nOperating System Android 13, XOS 13\nDisplay\nScreen Size 6.67 inches\nScreen Resolution 1080 x 2400 pixels\nScreen Type AMOLED, 1B colors, 120Hz, 900 nits (peak)\nScreen Protection N/A\nMemory\nInternal Memory 256 GB\nRAM 8 GB\nCard Slot microSDXC (dedicated slot)\nPerformance\nProcessor Mediatek MT8781 Helio G99\nGPU Mali-G57 MC2\nBattery\nType Li-Po 5000 mAh, non-removable\nCamera\nFront Camera 32 MP\nFront Flash Light Yes\nFront Video Recording 1080p@30fps\nBack Flash Light Yes\nBack Camera 108 MP + 2 MP + 2 MP\nBack Video Recording 1440p@30fps, 1080p@30fps\nConnectivity', '']"
6,i get the mobile its pta approved but made of vietnam also its doesnt have charger thats the negative point  get the mobile on discounted rate in 1111  hopefully it will work for a long time  phone was brand new box packed came in secure packagingcant see the pta sticker but seller said it is approved so i believe seller words got this in just rs26419 while market price is still rs30000 thanks to daraz 1111 exactly same as described delivered in just 2 days its my 4th cell phone purchase from daraz amazing experience as always yr bht he sasta mila sale mai market mai 35 ka hai 128gb or wholesale mai bhi 31 se kam mai nahi hai or dosra non active hai vip hogia mene online check kia hai original packing mai tha thanks bhai jan buhat acha mobile hai 100 original products thanks daraz thanks seller mobile is the same as shown in the picture original product charger not available in the boxsatisfied with the product but delivery was far away from expectations 1111 pta approved device received safely mobile battery was low and required charging before getting on thank you thank you daraz and seller pta pro but charging adaptor nahi nikla nice  good mobile but delivery is to slow over all is very good no charger no warranty card no any back cover only one mobile pta approved hai online warranty new set okay scene hai best mobile phone very good,Positive,Realme Narzo 50A Prime,32999,4.2,Free Delivery,0.0,100.0,https://www.daraz.pk/products/realme-narzo-50a-prime-4gb-128gb-pta-approved-with-official-1-year-warranty-i436801398-s2101274808.html?search=1,"['ColourXanh Tia Chop = Lightning Blueđen = Black\nRelease Date2023-05-30SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions164.4 x 75.6 x 8.1 mmPhone Weight189 gOperating SystemAndroid 11, Realme UI 2.0DisplayScreen Size6.6 inchesScreen Resolution1080 x 2408 pixelsScreen TypeIPS LCD, 600 nits (peak)Screen ProtectionN/AMemoryInternal Memory64/128 GBRAM4 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorUnisoc Tiger T612GPUMali-G57BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera8 MPFront Flash LightNoFront Video Recording720p@30fpsBack Flash LightYesBack Camera50 MP + 2 MP + 0.3 MPBack Video Recording1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioNoWiFiYesNFCNo', ""'Colour\nXanh Tia Chop = Lightning Blue\nđen = Black\nRelease Date 2023-05-30\nSIM Support Dual SIM (Nano-SIM, dual stand-by)\nPhone Dimensions 164.4 x 75.6 x 8.1 mm\nPhone Weight 189 g\nOperating System Android 11, Realme UI 2.0\nDisplay\nScreen Size 6.6 inches\nScreen Resolution 1080 x 2408 pixels\nScreen Type IPS LCD, 600 nits (peak)\nScreen Protection N/A\nMemory\nInternal Memory 64/128 GB\nRAM 4 GB\nCard Slot microSDXC (dedicated slot)\nPerformance\nProcessor Unisoc Tiger T612\nGPU Mali-G57\nBattery"", '']"
7,highly recommend,Positive,Like New Phones - Used Apple iPhone X - Silver 64 GB - PTA Approved,97999,5.0,Fastest Delivery,92.0,100.0,https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-64-gb-pta-approved-i434291909-s2088176034.html?search=1,"[""Model: Apple\nModel: iPhone X\nBattery Health - 80+\nPTA Approved\nScreen: 5.8-in. Super Retina HD\nCamera: 12MP Zoom 10x\nVideo camera: 4K Zoom 6x\nProcessor: A11 Bionic chip\nMemory: 3GB\nBattery: Lithium-ion 2716 mAh\nGenuine OEM components\nCertified 6 Months Daraz Warranty.\nDaraz Warranty Center Location: Karachi & Lahore.\nWarranty will be claimed on order number/invoice.\nThe phone will be dispatched in Daraz's Like New packaging.\nPhone will be slightly used, ensuring its authenticity with a genuine A-grade kit.\nThe original box, charging cable and charging dock will not be included.\nAll Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.\n60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.\nFully functional Factory Unlocked\nThere could be a few minimal scratches on the phone's body or screen."", ""Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 64 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked"", 'Specifications of Like New Phones - Used Apple iPhone X - Silver 64 GB - PTA Approved\nBrand Apple SKU 434291909_PK-2088176034 Storage capacity 64GB\nWhat’s in the box 1x Used Apple iPhone X - Silver 64 GB - PTA Approved']"
8,phone is damaged from edges pictures uploaded same as described original product found in reasonable price than market seller is fraud he is sending redmi 12c instead of redmi note 12 darazpk should take action on this in last 1 week multiple reviews came from buyers as they have received wrong product fortunately i have recorded video while opening my parcel i have attached video evidence i hope darazpk will take immediate action and compensate the buyers on priority i will never order from this store again genuine product as shown most reasonable price on daraz even any mobile market 1111 good and pin packed mobile thanks seller and daraz no any fault 1111 ordered grey colour but received green green is also a very good colour product is very good the price is also very reasonable as compared to the market same as described original product found in reasonable price than market nice phone camera results awesome  thanks  good product  colour black kaha tha but green mila anyway so nyc colour fade so beautiful so elegant just looking like a waooo mashallah fully packed phone haii delivery fast recomended thank you best purchase of the year so far great refresh rate and works seamlessly hope i can upgrade to the pro version timely received no damage good experience  product is good and reasonable delayed delivery brand new and perfectly packed satisfied,Positive,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,50499,3.3,Free Delivery,85.0,100.0,https://www.daraz.pk/products/redmi-note-12-8gb-ram-128gb-rom-pta-approved-official-warranty-super-fast-charging-i421521093-s1991845039.html?search=1,"['Display6.67"" AMOLED DotDisplayRefresh rate: 120HzBrightness: 450 nits (typ), HBM 700 nits (typ), 1200 nits peak brightnessContrast ratio: 4,500,000:1DCI- P3 wide color gamutResolution: 2400 x 1080Sunlight displayReading modeDesign165.66*75.96*7.85mm183.5gOnyx Gray, Mint Green, Ice BlueRear camera50MP main camera50Mf/1.88MP ultra-wide cameraf/2.2120°2MP macro cameraf/2.4Rear camera video recording1080p 1920x1080 | 30fps720p 1280x720 | 30fpsFront camera13MP front cameraf/2.45Front camera video recording1080p 1920x1080 | 30fps720p 1280x720 | 30fpsChipsetSnapdragon® 685CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 6106nm manufacturing processMemory4+128/6+128/8+128GBLPDDR4X + UFS2.2Expandable storage up to 1TB*Available storage and RAM are less than the total memory due to storage of the operating system and software pre-installed on the device.**Actual support and compatibility of memory cards may vary between manufacturers.Battery5000mAh (typ)Charging33W fast charging33W in-box chargerUSB-CCooling systemGraphiteSecurity & AuthenticationSide fingerprint sensorAI Face UnlockConnectivityDual SIM + microSD2G: GSM: 850 900 1800 1900MHz3G: WCDMA:1/5/84G: LTE FDD:1/3/5/7/8/20/284G: LTE TDD:38/40/41Bluetooth 5.0Wi-Fi Protocol: 802.11a/b/g/n/acVibration motorCoin vibration motorWater & Dust ResistanceIP53NavigationGPS: L1 ｜GLONASS: G1 | Compass: B1 | Galileo E1Audio3.5mm headphone jackSensorProximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster ｜GyroscopeUI and systemMIUI 14 based on Android 13', '', '']"
9,acha set hai battery timing bhe thk hi hai or sath mai original charger bhe hai sirf 1 din bad parsel mila official pta aprove h ye shayed with out warranty hoty h andar mp ki bajay itel ka warranty card h but phone achha h thnx thanks bro ju oder kiya tha wohi same cheez mili thanks daraz thank you so much  best keybad mob in a reasonable price battery timing is to good fully recommended excellent service the seller is a very good person the product is also very good the delivery boys are not good parcel jan boj kr late diya the seller delivered as per order thanks good product 100 original tnks seller nice product product achi nai the is liya return ke hai ma mobile ma speaker phata howa awaz bilkul sahi nai hai is liya return kiya bad experience with this seller     ,Positive,"Itel it 2166 || 2,0"" QQVGA Big Screen Display || Long Lasting 1000mAh Battery",2599,4.6,Free Delivery,94.0,92.0,https://www.daraz.pk/products/2166-qqvga-20-mah-i436031258-s2094277490.html?search=1,"['Dimension121 x 51.5 x 14mmWeightN/ABatteryLong Lasting 1000mAh BatteryMemory4MB built-in, 4MB Ram Card slot microSDHC 32GB (2,000 contacts 500 SMS)Processor208 MHz Chipset SC6531EConnectivityBluetoothDisplay Size2,0 inches ,Display ColoursQQVGA Big ScreenOperating FrequencySIM1: GSM 850 / 900 / 1800 / 1900 SIM2: GSM 850 / 900 / 1800 / 1900Body ColoursBlack , Blue , Light BlueEntertainmentFM Wireless FM with Recordinng Earphone jack 3.5mm Dual active Standby Dual standbyCamera0.8MP Rear CameraRing TonesMP3 ringtonesMessagingSMSOther FeaturesKing Voice Talker Dual SIM + Mini-SIM, Organizer, Speakerphone 2000 Contacts with Photos, with 500 Message Support Big LED Torch', 'Dimension 121 x 51.5 x 14mm\nWeight N/A\nBattery Long Lasting 1000mAh Battery\nMemory 4MB built-in, 4MB Ram Card slot microSDHC 32GB (2,000 contacts 500 SMS)\nProcessor 208 MHz Chipset SC6531E\nConnectivity Bluetooth\nDisplay Size 2,0 inches ,\nDisplay Colours QQVGA Big Screen\nOperating Frequency SIM1: GSM 850 / 900 / 1800 / 1900 SIM2: GSM 850 / 900 / 1800 / 1900\nBody Colours Black , Blue , Light Blue\nEntertainment FM Wireless FM with Recordinng Earphone jack 3.5mm Dual active Standby Dual standby\nCamera 0.8MP Rear Camera\nRing Tones MP3 ringtones\nMessaging SMS\nOther Features King Voice Talker Dual SIM + Mini-SIM, Organizer, Speakerphone 2000 Contacts with Photos, with 500 Message Support Big LED Torch', 'Specifications of Itel it 2166 || 2,0"" QQVGA Big Screen Display || Long Lasting 1000mAh Battery\nBrand No Brand SKU 436031258_PK-2094277490\nWhat’s in the box 1 Phone + 1 Battery + 1 Charger + 1 User Guide']"
10,its 128 gb variant not available in pakistan but the seller has amazingly provided it the product is genuine received well packed and timely deievered thanks to seller and daraz mobile is pta aproved moible is very good this mobile was only available on daraz in market it is not available the crated goes to daraz i bought it on 38919 rupess 8 128 i hope it is a good price 1111 to cut the long story short all is well and of fine quality really satisfied with each and every single thing 1111 the product was same as was expected although delivery got very late but wait was worth it mobile was pin packed and pta approvedthanks a lot i have received my phone in time new and original condition best seller best service thank you daraz for best services origional product pta approved hai non activated phone tha sim dal k active kiya warranty 1 year activate hui ha at first i was worried by reading some negative comments but origional product rcvd 5 stars to seller  i have received original product and i would like to purchase anything anytime with the seller again as i mentioned before this is a daraz exclusive 128gb version which is not available in the offline market thank you so much thanks seller alhamdulillah satisfied and at a great discount as well in 1111 very nice phone comes with charger screen protector back cover charging is really fast and battery last around 2 days i think its the best phone in this price if you are not into camera that much 1111 this phone is amazing very fast speed,Positive,"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery",43499,4.3,Free Delivery,0.0,100.0,https://www.daraz.pk/products/infinix-note-30-8gb128gb-android-13-678-display-5000-mah-battery-i436820987-s2101357944.html?search=1,"['• Infinix Note 30 with 6.78"" display and 5000mAh battery.• 8GB RAM and 128GB storage capacity.• Runs on Android 13 operating system.', 'The Infinix Note 30 is a powerful mobile device with an 8GB RAM and 128GB internal storage capacity. It runs on the latest Android 13 operating system and features a large 6.78-inch display, providing an immersive viewing experience. The device is equipped with a 5000mAh battery, ensuring long-lasting usage.', 'Specifications of Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery\nBrand No Brand SKU 436820987_PK-2101357944 Protection Not Specified Year 2020 Number Of Cameras Not Specified\nWhat’s in the box 1 x Phone, 1x Charger']"
