ID,Product Title,Price,Rating,Free Shipping Status,Seller Rating,Ship on Time,Product Link,Specifications
1,Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13,34999,4.4,Free Delivery,0.0,100.0,https://www.daraz.pk/products/samsung-a14-4gb64gb-5000-mah-battery-66-display-android-13-i436839264-s2101404094.html?search=1,"[""• Samsung A14 with 4GB/64GB memory.• 5000 mAh battery for long-lasting use.• 6.6' display for immersive viewing experience.• Latest Android 13 operating system."", ""Introducing the Samsung A14, the latest addition to the mobile phone market. With a 6.6' display, this phone is perfect for streaming your favorite shows and movies. The 5000 mAh battery ensures that you can use your phone all day without worrying about running out of charge. The phone runs on Android 13, providing a smooth and efficient user experience. The 4GB RAM and 64GB storage capacity allow you to store all your important files and documents."", ""Specifications of Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13\nBrand No Brand SKU 436839264_PK-2101404094 Protection Not Specified Year 2020 Number Of Cameras Not Specified\nWhat’s in the box 1x Phone, 1x Charging Cable""]"
2,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,49999,4.7,Standard Delivery,92.0,100.0,https://www.daraz.pk/products/redmi-note-12-8-gb-ram-128gb-rom-pta-approved-mobile-phone-with-1-year-brand-warranty-i429185340-s2040915791.html?search=1,"['Redmi Note 12 8GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty\nROM: 128GBOfficial Brand Stock 1 Year Brand Warranty\nAvailable in 4 colors:\n-Blue\n-Grey\n-Light Green\n-Levender', 'Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty\n\nROM: 128GB\nOfficial Brand Stock 1 Year Brand Warranty\nAvailable in 4 colors: \n-Blue\n-Grey\n-Light Green\n-Levender', 'Specifications of Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty\nBrand Xiaomi SKU 429185340_PK-2040915791 Protection Not Specified Year Not Specified Number Of Cameras Not Specified\nWhat’s in the box 1 x Redmi Note 12, 1 x Charger, 1 x User Guide']"
3,Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,106999,5.0,Fastest Delivery,92.0,100.0,https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-256-gb-pta-approved-i435087172-s2088535157.html?search=1,"[""Model: Apple\nModel: iPhone X\nBattery Health - 80+\nPTA Approved\nScreen: 5.8-in. Super Retina HD\nCamera: 12MP Zoom 10x\nVideo camera: 4K Zoom 6x\nProcessor: A11 Bionic chip\nMemory: 3GB\nBattery: Lithium-ion 2716 mAh\nGenuine OEM components\nCertified 6 Months Daraz Warranty.\nDaraz Warranty Center Location: Karachi & Lahore.\nWarranty will be claimed on order number/invoice.\nThe phone will be dispatched in Daraz's Like New packaging.\nPhone will be slightly used, ensuring its authenticity with a genuine A-grade kit.\nThe original box, charging cable and charging dock will not be included.\nAll Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.\n60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.\nFully functional Factory Unlocked\nThere could be a few minimal scratches on the phone's body or screen."", ""Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked"", 'Specifications of Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved\nBrand Apple SKU 435087172_PK-2088535157 Storage capacity 256GB\nWhat’s in the box 1x Used Apple iPhone X - Silver 256 GB - PTA Approved']"
4,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,19399,4.7,Standard Delivery,92.0,100.0,https://www.daraz.pk/products/redmi-a2-3gb64gb-mediatek-helio-g36-android-12-5000-mah-battery-i430451931-s2051820850.html?search=1,"['Display: 6.52” HD+ Dot Drop displayResolution: 1600×720 HD+Processor: MediaTek Helio G36Storage: Expandable Storage up to 1TBOperating System: Android 12 (Go Edition)Rear Camera: 8MP main cameraFront Camera: 5 MP CameraBattery: 5000mAh (typ) high-capacity batteryCharging: 10W fast charging | Micro USBDimensions: 164.9×76.75×9.09mmWeight: 192gAudio: 3.5mm headphone jack', 'Redmi A2+ - 3GB/64GB - Mediatek Helio G96 - Android 12 (Go Edition) - 5000 mAh Battery', 'Specifications of Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery\nBrand Xiaomi SKU 430451931_PK-2051820850 Protection Not Specified Year Not Specified Number Of Cameras 2\nWhat’s in the box Redmi A2+/ Adapter/ USB cable / SIM eject tool / User guide']"
5,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,64499,4.7,Free Delivery,0.0,100.0,https://www.daraz.pk/products/infinix-note-30-pro-8-256-gb-pta-approved-with-official-1-year-warranty-i436821010-s2101334479.html?search=1,"['Release Date2023-05-22SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions162.7 x 76 x 8.2 mmPhone Weight203 gOperating SystemAndroid 13, XOS 13DisplayScreen Size6.67 inchesScreen Resolution1080 x 2400 pixelsScreen TypeAMOLED, 1B colors, 120Hz, 900 nits (peak)Screen ProtectionN/AMemoryInternal Memory256 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek MT8781 Helio G99GPUMali-G57 MC2BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera32 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera108 MP + 2 MP + 2 MPBack Video Recording1440p@30fps, 1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes (market/region dependent)', 'Release Date 2023-05-22\nSIM Support Dual SIM (Nano-SIM, dual stand-by)\nPhone Dimensions 162.7 x 76 x 8.2 mm\nPhone Weight 203 g\nOperating System Android 13, XOS 13\nDisplay\nScreen Size 6.67 inches\nScreen Resolution 1080 x 2400 pixels\nScreen Type AMOLED, 1B colors, 120Hz, 900 nits (peak)\nScreen Protection N/A\nMemory\nInternal Memory 256 GB\nRAM 8 GB\nCard Slot microSDXC (dedicated slot)\nPerformance\nProcessor Mediatek MT8781 Helio G99\nGPU Mali-G57 MC2\nBattery\nType Li-Po 5000 mAh, non-removable\nCamera\nFront Camera 32 MP\nFront Flash Light Yes\nFront Video Recording 1080p@30fps\nBack Flash Light Yes\nBack Camera 108 MP + 2 MP + 2 MP\nBack Video Recording 1440p@30fps, 1080p@30fps\nConnectivity', '']"
6,Realme Narzo 50A Prime,32999,4.2,Free Delivery,0.0,100.0,https://www.daraz.pk/products/realme-narzo-50a-prime-4gb-128gb-pta-approved-with-official-1-year-warranty-i436801398-s2101274808.html?search=1,"['ColourXanh Tia Chop = Lightning Blueđen = Black\nRelease Date2023-05-30SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions164.4 x 75.6 x 8.1 mmPhone Weight189 gOperating SystemAndroid 11, Realme UI 2.0DisplayScreen Size6.6 inchesScreen Resolution1080 x 2408 pixelsScreen TypeIPS LCD, 600 nits (peak)Screen ProtectionN/AMemoryInternal Memory64/128 GBRAM4 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorUnisoc Tiger T612GPUMali-G57BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera8 MPFront Flash LightNoFront Video Recording720p@30fpsBack Flash LightYesBack Camera50 MP + 2 MP + 0.3 MPBack Video Recording1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioNoWiFiYesNFCNo', ""'Colour\nXanh Tia Chop = Lightning Blue\nđen = Black\nRelease Date 2023-05-30\nSIM Support Dual SIM (Nano-SIM, dual stand-by)\nPhone Dimensions 164.4 x 75.6 x 8.1 mm\nPhone Weight 189 g\nOperating System Android 11, Realme UI 2.0\nDisplay\nScreen Size 6.6 inches\nScreen Resolution 1080 x 2408 pixels\nScreen Type IPS LCD, 600 nits (peak)\nScreen Protection N/A\nMemory\nInternal Memory 64/128 GB\nRAM 4 GB\nCard Slot microSDXC (dedicated slot)\nPerformance\nProcessor Unisoc Tiger T612\nGPU Mali-G57\nBattery"", '']"
7,Like New Phones - Used Apple iPhone X - Silver 64 GB - PTA Approved,97999,5.0,Fastest Delivery,92.0,100.0,https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-64-gb-pta-approved-i434291909-s2088176034.html?search=1,"[""Model: Apple\nModel: iPhone X\nBattery Health - 80+\nPTA Approved\nScreen: 5.8-in. Super Retina HD\nCamera: 12MP Zoom 10x\nVideo camera: 4K Zoom 6x\nProcessor: A11 Bionic chip\nMemory: 3GB\nBattery: Lithium-ion 2716 mAh\nGenuine OEM components\nCertified 6 Months Daraz Warranty.\nDaraz Warranty Center Location: Karachi & Lahore.\nWarranty will be claimed on order number/invoice.\nThe phone will be dispatched in Daraz's Like New packaging.\nPhone will be slightly used, ensuring its authenticity with a genuine A-grade kit.\nThe original box, charging cable and charging dock will not be included.\nAll Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.\n60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.\nFully functional Factory Unlocked\nThere could be a few minimal scratches on the phone's body or screen."", ""Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 64 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked"", 'Specifications of Like New Phones - Used Apple iPhone X - Silver 64 GB - PTA Approved\nBrand Apple SKU 434291909_PK-2088176034 Storage capacity 64GB\nWhat’s in the box 1x Used Apple iPhone X - Silver 64 GB - PTA Approved']"
8,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,50499,3.3,Free Delivery,85.0,100.0,https://www.daraz.pk/products/redmi-note-12-8gb-ram-128gb-rom-pta-approved-official-warranty-super-fast-charging-i421521093-s1991845039.html?search=1,"['Display6.67"" AMOLED DotDisplayRefresh rate: 120HzBrightness: 450 nits (typ), HBM 700 nits (typ), 1200 nits peak brightnessContrast ratio: 4,500,000:1DCI- P3 wide color gamutResolution: 2400 x 1080Sunlight displayReading modeDesign165.66*75.96*7.85mm183.5gOnyx Gray, Mint Green, Ice BlueRear camera50MP main camera50Mf/1.88MP ultra-wide cameraf/2.2120°2MP macro cameraf/2.4Rear camera video recording1080p 1920x1080 | 30fps720p 1280x720 | 30fpsFront camera13MP front cameraf/2.45Front camera video recording1080p 1920x1080 | 30fps720p 1280x720 | 30fpsChipsetSnapdragon® 685CPU: Octa-core CPU, up to 2.8GHzGPU: Adreno 6106nm manufacturing processMemory4+128/6+128/8+128GBLPDDR4X + UFS2.2Expandable storage up to 1TB*Available storage and RAM are less than the total memory due to storage of the operating system and software pre-installed on the device.**Actual support and compatibility of memory cards may vary between manufacturers.Battery5000mAh (typ)Charging33W fast charging33W in-box chargerUSB-CCooling systemGraphiteSecurity & AuthenticationSide fingerprint sensorAI Face UnlockConnectivityDual SIM + microSD2G: GSM: 850 900 1800 1900MHz3G: WCDMA:1/5/84G: LTE FDD:1/3/5/7/8/20/284G: LTE TDD:38/40/41Bluetooth 5.0Wi-Fi Protocol: 802.11a/b/g/n/acVibration motorCoin vibration motorWater & Dust ResistanceIP53NavigationGPS: L1 ｜GLONASS: G1 | Compass: B1 | Galileo E1Audio3.5mm headphone jackSensorProximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster ｜GyroscopeUI and systemMIUI 14 based on Android 13', '', '']"
9,"Itel it 2166 || 2,0"" QQVGA Big Screen Display || Long Lasting 1000mAh Battery",2599,4.6,Free Delivery,94.0,92.0,https://www.daraz.pk/products/2166-qqvga-20-mah-i436031258-s2094277490.html?search=1,"['Dimension121 x 51.5 x 14mmWeightN/ABatteryLong Lasting 1000mAh BatteryMemory4MB built-in, 4MB Ram Card slot microSDHC 32GB (2,000 contacts 500 SMS)Processor208 MHz Chipset SC6531EConnectivityBluetoothDisplay Size2,0 inches ,Display ColoursQQVGA Big ScreenOperating FrequencySIM1: GSM 850 / 900 / 1800 / 1900 SIM2: GSM 850 / 900 / 1800 / 1900Body ColoursBlack , Blue , Light BlueEntertainmentFM Wireless FM with Recordinng Earphone jack 3.5mm Dual active Standby Dual standbyCamera0.8MP Rear CameraRing TonesMP3 ringtonesMessagingSMSOther FeaturesKing Voice Talker Dual SIM + Mini-SIM, Organizer, Speakerphone 2000 Contacts with Photos, with 500 Message Support Big LED Torch', 'Dimension 121 x 51.5 x 14mm\nWeight N/A\nBattery Long Lasting 1000mAh Battery\nMemory 4MB built-in, 4MB Ram Card slot microSDHC 32GB (2,000 contacts 500 SMS)\nProcessor 208 MHz Chipset SC6531E\nConnectivity Bluetooth\nDisplay Size 2,0 inches ,\nDisplay Colours QQVGA Big Screen\nOperating Frequency SIM1: GSM 850 / 900 / 1800 / 1900 SIM2: GSM 850 / 900 / 1800 / 1900\nBody Colours Black , Blue , Light Blue\nEntertainment FM Wireless FM with Recordinng Earphone jack 3.5mm Dual active Standby Dual standby\nCamera 0.8MP Rear Camera\nRing Tones MP3 ringtones\nMessaging SMS\nOther Features King Voice Talker Dual SIM + Mini-SIM, Organizer, Speakerphone 2000 Contacts with Photos, with 500 Message Support Big LED Torch', 'Specifications of Itel it 2166 || 2,0"" QQVGA Big Screen Display || Long Lasting 1000mAh Battery\nBrand No Brand SKU 436031258_PK-2094277490\nWhat’s in the box 1 Phone + 1 Battery + 1 Charger + 1 User Guide']"
10,"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery",43499,4.3,Free Delivery,0.0,100.0,https://www.daraz.pk/products/infinix-note-30-8gb128gb-android-13-678-display-5000-mah-battery-i436820987-s2101357944.html?search=1,"['• Infinix Note 30 with 6.78"" display and 5000mAh battery.• 8GB RAM and 128GB storage capacity.• Runs on Android 13 operating system.', 'The Infinix Note 30 is a powerful mobile device with an 8GB RAM and 128GB internal storage capacity. It runs on the latest Android 13 operating system and features a large 6.78-inch display, providing an immersive viewing experience. The device is equipped with a 5000mAh battery, ensuring long-lasting usage.', 'Specifications of Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery\nBrand No Brand SKU 436820987_PK-2101357944 Protection Not Specified Year 2020 Number Of Cameras Not Specified\nWhat’s in the box 1 x Phone, 1x Charger']"
