ID,Reviews,Review Analysis
1,genuine samsung mobile well packed pta approved i like it very beautiful mobile and hope it will be long lasting experience 1111 1111 mobile without mobile warranty card charger but seems good packing was not good delivery is pathatic bought 3 phones and all are new sealed pack non active and pta approved no warranty card but daraz official warranty claimed by seller 1111 orignal pta approved haiseal pack mob haiperfomance me mobile buhat zbrdast haiscren resulation b buhat best haijo b purchase karna chahty hai eyes close kar k order kar dy original samsung a14 phone its daraz official warranty not samsung official warranty 100 pta compliance 1111 no warranty card no charging cableno adopter ab pata nahi chalne me kia rang dekhai ga allah kher kare but delivered in time  same as shown phone tou kaafi acha hai aur delivery bhi bilkul time par thi aur packaging bhi seller ne achi ki hoi thi lekin jou new phone ke dabbe par plastic sheet hoti hai woh nhi thi phone par tou usska seller bas yeh confirm kardein ke yeh bikul new tha na excellent quality     this product but charger nhi diya compney walo na mobile kafi acha best budget phone is price me or kia chahye  warranty ki wese b zrort ni prti samsung phones m mere khyal m daraz pe is s achi koi deal nhi h mobiles segment me in 30k budget phone original ha official pta approved ha colour maroon mangwaya tha seller na black bheja anyway cover maroon la lia packing b fit ha delivery buht slow th got this phone in 28419 price which is value for money excellent experience with this seller got original product sealed and received on time 1010 official pta approved dual sim uae version box sealed packed with samsung seal good set in this price range  2 years warranty recommended,Positive
2,this is the initial review the phone is the same as showngood thing is that it is managed directly by daraz packaging was amazing order came 1 day late only daraz is very helpfuli was not have enough money to buy this range mobile so i buy on installment from daraz mobile ki look boht achi hy or is range mai best hythanks daraz and seller camera satisfactory nh ha baki mobile ok ha daraz is very helpfuli was not have enough money to buy this range mobile so i buy on installment from daraz mobile ki look boht achi hy or is range mai best hythanks daraz and seller very good price comparison to infinix note 30 pro which black market launch price 61k whereas selling it on 95k product is good well packed and everything included orignal product satisfied with the service delivery was on time the phone is very good and in good price delivery was fast phone box was wrapped in bubble wrap so it was safe satisfied with the seller authentic product in good price  lightweight camera is 50mp but quality is not that good camera rating 710 user interface is very versatile face id recognition is not as expected 710 at night in ful darkness it has difficultly in recognition speaker sound is good excellent quality pta approved fast delivery received less than 24 hours of order very good service fast delivery same as shown in photo original product delivered within 2 days after use of 3 days mobile was good but warranty card is missing where is warranty card mera oder monday ko aa gaya tha review aj kr raha hu use kr k mujay bht acha discount mila hai jo device color mangwaya tha wahi milha hai or may full happy and satisfied hu thanks daraz thanx seller  good quality fast delivery thanks for seller good quality i am very happy from quick deliveryproper packing and mobile outlook its very attractive its touch very smooth bot kamal ka cell ha ma ne 3rd order kia ha or 2 or order kru ga or fast delivery thi 3 aug 2023 ko order or 4 aug 2023 ko mil bi gya to good umeriqbal1023gmailcom,Positive
3,received as promised almost 1010 condition genuine phone with genuine parts no issue found thanks will buy again in shaa allah,Positive
4,alhamdulillah same recieved as shown in picture same specifications a1 condition and fast delivery thanks daraz i recmond it and i order one more achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai mobile is just go0d average in use bettery timing is go0d camera is just average overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho i upgraded my stand by phone from a1 to a2 i received this phone in great packaging delivery was fast phone seems a little better than a1 i wish it would have type c charging im surprised to see the camera quality display and battery timing of this phone a perfect phone in this range with very few compromises highly recommended assalamu alaikum thank god  thanks daraz team  wanderseller xiaomi good packing  short delivery time original product 100 recommended khushe hai ke aazadi sale mai itny best price main redmi a2 offer kiya gya thanks daraz app i recently ordered a phone  and i must say it was a convenient experience the website had a userfriendly interface making it easy to browse and compare options placing the order was straightforward and they provided clear shipping information the phone arrived in good condition and on time overall a hasslefree online phone shopping experience received my order the product is very good i am satisfied with daraz and the seller response is good but lcs service is poor due to not deliver my parcel to me not to inform me and delivered my parcel any other address very good quality and design mobile is genuine and working fine so far delivery was quite quick and i received the mobile next day of ordering price was competitive with market thank you daraz genuine product and good cell phone in this range  got at the lowest price through hbl mega deal   properly packed and timely delivered  satisfied with the seller   cheers   1111 awesome   original product in this price range the best of the best mobile mi redmi a2 plus 364 thumbs up  is price range may use mobiles ya refurbish mobile milty hain to kun apnay pasay zaya karain use or refurbish mobile lay kar jab mi redmi day raha hay brand new box pack mobile mi redmi a2 plus 364 bhot hi kaam price may  kmallllll hi hogyaaaahrgiz b ni lgta tha k daraz sy mob b itny best milty hainfirst time daraz sy kuch mngaya wo b direct mob mnga liya or drr tha k paisy gay mery lekin boht zbrdst mob mil gya seller boht honest hai bhiiii thank you or delivery boy ny to kmal hi krdiya time sy pehly hi delivery krdi assalamualaikum i placed the order fearing not to be scammed but thanks to allah the experience was good but it is a good mobile at this price thanks to the seller and the drawer app  authentic and genuine product good packing but badly handled by daraz i guess delivered within timeline highly recommend seller thank you so much alhamdulillah same recieved as shown in picture same specifications a1 condition and fast delivery thanks daraz i recmond it and i order one more excellent product and original one i bought it in 1111 sale 1111 is valuable for money saving awesome discount i get and original product i receive very fast delivery services xiaomi is doing very very good as always and daraz done it again very awesome sale thank you daraz and xiaomi ,Positive
5,acha mobile hai and same cheez delivered ki hai with fast delivery service satisfied with daraz and seller i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla thanks daraz for maintenance of trust with customers love from rawalpindi allahamdolilah received mobile is original and new as mentioned recommended for buying same thing which is ordered rather late delivered nice mobile at this price with special specs delivered late but overall services by daraz are good thanks i received my parcel two days ago genuine products hai aur time pr delivered hua dill khush ho gia cell dekh kr thank you so much bhai buht acha phone ha original phone one year official warranty ha  1111 no doubt the phone is worth buying  color is awesome and the specs are too good i hope it will continuously perform as it is doing now i was afraid before buying as there was no any review about this phone on this seller but thanks for sending me original device real mobile set with complete box having wire charger wireless charger jack pin with non active phone set this is non active mobile set i really very happy thanks dear bahot acha mobile hy thanks daraz and seller pin packed and original product recommended seller good packing arrived at time but mic ka problem lagta hai awaz agay bohat kam jati hai subah tak daikhta ho nai tu return kar du ga nice product i ma really happy to buy from daraz and thank you seller pin packed product i am really confused to buy this but amazing product  you should also believe the saller and daraz recommended seller awesome product,Positive
6,i get the mobile its pta approved but made of vietnam also its doesnt have charger thats the negative point  get the mobile on discounted rate in 1111  hopefully it will work for a long time  phone was brand new box packed came in secure packagingcant see the pta sticker but seller said it is approved so i believe seller words got this in just rs26419 while market price is still rs30000 thanks to daraz 1111 exactly same as described delivered in just 2 days its my 4th cell phone purchase from daraz amazing experience as always yr bht he sasta mila sale mai market mai 35 ka hai 128gb or wholesale mai bhi 31 se kam mai nahi hai or dosra non active hai vip hogia mene online check kia hai original packing mai tha thanks bhai jan buhat acha mobile hai 100 original products thanks daraz thanks seller mobile is the same as shown in the picture original product charger not available in the boxsatisfied with the product but delivery was far away from expectations 1111 pta approved device received safely mobile battery was low and required charging before getting on thank you thank you daraz and seller pta pro but charging adaptor nahi nikla nice  good mobile but delivery is to slow over all is very good no charger no warranty card no any back cover only one mobile pta approved hai online warranty new set okay scene hai best mobile phone very good,Positive
7,highly recommend,Positive
8,phone is damaged from edges pictures uploaded same as described original product found in reasonable price than market seller is fraud he is sending redmi 12c instead of redmi note 12 darazpk should take action on this in last 1 week multiple reviews came from buyers as they have received wrong product fortunately i have recorded video while opening my parcel i have attached video evidence i hope darazpk will take immediate action and compensate the buyers on priority i will never order from this store again genuine product as shown most reasonable price on daraz even any mobile market 1111 good and pin packed mobile thanks seller and daraz no any fault 1111 ordered grey colour but received green green is also a very good colour product is very good the price is also very reasonable as compared to the market same as described original product found in reasonable price than market nice phone camera results awesome  thanks  good product  colour black kaha tha but green mila anyway so nyc colour fade so beautiful so elegant just looking like a waooo mashallah fully packed phone haii delivery fast recomended thank you best purchase of the year so far great refresh rate and works seamlessly hope i can upgrade to the pro version timely received no damage good experience  product is good and reasonable delayed delivery brand new and perfectly packed satisfied,Positive
9,acha set hai battery timing bhe thk hi hai or sath mai original charger bhe hai sirf 1 din bad parsel mila official pta aprove h ye shayed with out warranty hoty h andar mp ki bajay itel ka warranty card h but phone achha h thnx thanks bro ju oder kiya tha wohi same cheez mili thanks daraz thank you so much  best keybad mob in a reasonable price battery timing is to good fully recommended excellent service the seller is a very good person the product is also very good the delivery boys are not good parcel jan boj kr late diya the seller delivered as per order thanks good product 100 original tnks seller nice product product achi nai the is liya return ke hai ma mobile ma speaker phata howa awaz bilkul sahi nai hai is liya return kiya bad experience with this seller     ,Positive
10,its 128 gb variant not available in pakistan but the seller has amazingly provided it the product is genuine received well packed and timely deievered thanks to seller and daraz mobile is pta aproved moible is very good this mobile was only available on daraz in market it is not available the crated goes to daraz i bought it on 38919 rupess 8 128 i hope it is a good price 1111 to cut the long story short all is well and of fine quality really satisfied with each and every single thing 1111 the product was same as was expected although delivery got very late but wait was worth it mobile was pin packed and pta approvedthanks a lot i have received my phone in time new and original condition best seller best service thank you daraz for best services origional product pta approved hai non activated phone tha sim dal k active kiya warranty 1 year activate hui ha at first i was worried by reading some negative comments but origional product rcvd 5 stars to seller  i have received original product and i would like to purchase anything anytime with the seller again as i mentioned before this is a daraz exclusive 128gb version which is not available in the offline market thank you so much thanks seller alhamdulillah satisfied and at a great discount as well in 1111 very nice phone comes with charger screen protector back cover charging is really fast and battery last around 2 days i think its the best phone in this price if you are not into camera that much 1111 this phone is amazing very fast speed,Positive
